date,year,return,value,n_features
2025-04-14,2025,-0.009611772779874295,501265.5460572944,13
2025-04-21,2025,0.15241669972157318,577666.7862714794,14
2025-04-28,2025,0.029439090947847534,594672.7713300763,14
2025-05-05,2025,0.04201898170315135,619660.315627957,14
2025-05-12,2025,0.005436510315322251,623029.1053258642,14
2025-05-19,2025,-0.020112274878551238,610498.5727022125,15
2025-06-02,2025,0.04749365209426537,639493.379518177,15
2025-06-09,2025,-0.02071885906172457,626243.806317034,15
2025-06-16,2025,-0.030835947012398036,606932.9854885994,15
2025-06-23,2025,0.050509188478878767,637588.6780466917,13
2025-06-30,2025,0.03663968804297737,660949.7283100568,13
2025-07-07,2025,0.02292824312456645,676104.144373866,13
2025-07-14,2025,0.03193789466095733,697697.4873167153,13
2025-07-21,2025,-0.013169254983281198,688509.331205047,15
2025-07-28,2025,-0.07149442272356964,639284.7540307511,15
2025-08-04,2025,-0.012021866221098276,631599.3582406057,15
2025-08-11,2025,0.08725268319046568,686708.0969484746,15
2025-08-18,2025,0.012714272893724676,695439.0910914078,15
2025-08-25,2025,-0.0267004853967725,676870.5297953769,15
2025-09-08,2025,0.029466941890701804,696815.8343643859,15
2025-09-15,2025,0.0010924058102298796,697577.0400305059,15
2025-09-22,2025,-0.001174281684243783,696757.888089049,14
2025-09-29,2025,0.014061028006102327,706555.020266942,14
2025-10-06,2025,-0.02313029047632873,690212.1974106593,14
2025-10-13,2025,-0.001924092499525898,688884.1652985401,14
2025-10-20,2025,0.0262094211570716,706939.4205152873,12
2025-10-27,2025,-0.02141366548995388,691801.2562427111,12
2025-11-03,2025,-0.01856177072505808,678960.1999370267,12
2025-11-10,2025,-0.03266768606462299,656780.1412751103,12
2025-11-17,2025,-0.05166953849457684,622844.6144830224,15
2025-11-24,2025,0.04266579069338394,649418.7724390564,15
2025-12-01,2025,0.028094710216766506,667664.00466006,15
